Fecha,TSS,hrv,mmp5,rHRM,kjkg,hm,hrv_post
2025-01-04,158,64,0,50,30,2,125,32
2025-01-05,88,79,0,48,15,2,134,63
2025-01-06,45,79,0,51,1,1,114,63
2025-01-07,0,89,0,48,0,0,84
2025-01-08,0,82,0,50,0,0,77
2025-01-09,0,87,246,47,0,0,82
2025-01-10,0,76,0,51,0,0,72
2025-01-11,65,75,179,46,13,1,109,60
2025-01-12,14,75,0,42,3,8,111,72
2025-01-13,34,82,0,46,7,3,113,65
2025-01-14,0,76,247,47,0,0,72
2025-01-15,53,77,0,50,9,2,144,61
2025-01-16,101,60,251,51,18,4,257,42
2025-01-17,99,78,0,50,0,8,117,62
2025-01-18,103,68,179,50,18,9,255,47
2025-01-19,23,77,0,50,5,1,123,61
2025-01-20,65,76,176,52,1,138,60
2025-01-21,81,79,251,48,11,5,126,63
2025-01-22,89,72,210,54,1,129,57
2025-01-23,75,71,0,51,12,125,56
2025-01-24,98,76,0,54,1,2,123,60
2025-01-25,109,62,0,52,19,1,392,43
2025-01-26,56,82,0,49,10,2,134,65
2025-01-27,107,78,0,52,10,9,271,54
2025-01-28,76,68,244,55,10,9,124,54
2025-01-29,107,77,0,50,10,7,268,53
2025-01-30,62,79,244,50,9,3,123,63
2025-01-31,0,79,0,55,0,0,75
2025-02-01,0,84,216,47,0,0,79
2025-02-02,176,70,0,49,24,1,260,35
2025-02-03,85,68,0,55,7,2,283,54
2025-02-04,88,74,264,55,7,2,228,59
2025-02-05,88,75,0,55,11,4,307,60
2025-02-06,161,71,246,52,17,9,114,35
2025-02-07,42,84,0,50,0,5,109,67
2025-02-08,217,76,227,50,30,2,258,30
2025-02-09,82,71,0,56,13,6,135,56
2025-02-10,93,72,0,57,7,8,216,57
2025-02-11,14,86,170,49,8,85,68
2025-02-12,81,87,0,48,13,143,69
2025-02-13,0,86,238,51,0,0,81
2025-02-14,0,75,0,55,0,0,71
2025-02-15,0,79,227,50,0,0,75
2025-02-16,19,83,0,50,4,112,66
2025-02-17,77,84,0,49,1,3,124,67
2025-02-18,72,83,266,47,12,2,128,66
2025-02-19,111,80,0,52,9,8,250,56
2025-02-20,81,76,232,49,13,9,136,60
2025-02-21,111,83,0,49,9,6,251,58
2025-02-22,106,64,215,53,17,8,127,44
2025-02-23,80,79,0,52,13,2,140,63
2025-02-24,53,86,0,50,1,133,68
2025-02-25,97,82,227,49,16,3,127,65
2025-02-26,159,82,0,51,13,8,268,41
2025-02-27,65,80,0,53,14,6,117,64
2025-02-28,103,87,233,50,0,8,121,60
2025-03-01,220,65,0,49,37,3,265,26
2025-03-02,128,82,0,48,21,2,222,57
2025-03-03,42,82,0,47,0,6,130,72
2025-03-04,123,83,225,50,26,2,111,58
2025-03-05,123,88,0,48,19,5,144,61
2025-03-06,129,85,0,52,12,7,238,59
2025-03-07,90,85,0,49,1,123,68
2025-03-08,203,76,62,48,38,253,30
2025-03-09,121,79,223,53,19,4,135,55
2025-03-10,42,87,0,47,0,6,126,69
2025-03-11,96,81,165,45,14,6,121,64
2025-03-12,131,85,0,48,20,1,139,59
2025-03-13,141,81,0,49,13,5,259,56
2025-03-14,97,77,0,50,1,2,130,61
2025-03-15,247,59,228,51,41,8,258,23
2025-03-16,122,76,0,50,21,1,149,53
2025-03-17,62,80,0,49,1,1,131,64
2025-03-18,0,76,256,51,0,0,72
2025-03-19,157,71,0,48,13,2,272,35
2025-03-20,133,61,174,53,22,3,272,42
2025-03-21,112,76,0,53,1,4,126,53
2025-03-22,223,62,224,53,40,4,269,24
2025-03-23,109,81,0,50,20,3,132,56
2025-03-24,43,86,0,47,1,2,125,68
2025-03-25,113,74,251,46,20,5,257,51
2025-03-26,156,76,0,50,14,3,289,38
2025-03-27,54,73,172,51,10,4,128,58
2025-03-28,108,82,0,49,1,3,122,57
2025-03-29,176,71,233,50,28,1,268,35
2025-03-30,80,80,0,48,14,6,142,64
2025-03-31,0,85,0,48,0,0,80
2025-04-01,62,71,223,47,8,5,127,56
2025-04-02,105,75,0,49,8,6,259,52
2025-04-03,49,72,0,49,8,2,124,57
2025-04-04,35,76,0,50,6,3,147,60
2025-04-05,36,72,195,51,6,6,220,57
2025-04-06,326,66,220,49,46,4,425,26
2025-04-07,0,83,0,52,0,0,78
2025-04-08,49,85,170,48,10,6,120,68
2025-04-09,116,78,0,46,10,3,268,54
2025-04-10,66,70,233,51,11,4,130,56
2025-04-11,136,73,0,48,11,6,255,51
2025-04-12,173,59,217,53,28,4,116,29
2025-04-13,76,79,0,50,15,1,134,63
2025-04-14,57,84,0,48,0,8,126,67
2025-04-15,140,72,264,47,23,1,259,50
2025-04-16,171,81,0,49,16,4,272,40
2025-04-17,103,71,244,53,13,9,118,49
2025-04-18,105,89,220,45,1,1,118,62
2025-04-19,221,65,0,48,37,3,243,26
